station,station_key,lat,lon,row_id,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?,station_csv,borough,stop_name,stop_type,stop_distance,passengers_2017,passengers_2018,passengers_2019,passengers_2020,passengers_2021,num_lines,avg_passengers,covid_impact_pct,recovery_rate_pct,trend_slope,trend_category,cluster_id,cluster_name
Mornington Crescent,mornington crescent,51.53420661060257,-0.13884252998989957,139,648.0,Mornington Crescent,4047460.0,4289579.0,4479064.0,4670839.0,4302147.0,4550432.0,4651775.0,4756065.0,4531089.0,5039573.0,4779258.0,4300182.0,4001482.0,1331040.0,1425296.0,Northern,London Underground,Yes,,,,Yes,Mornington Crescent,Mornington Crescent,Mornington Crescent Underground Station,MET,0.0004755436739523571,4779258.0,4300182.0,4001482.0,1331040.0,1425296.0,1,3167451.6,-66.73632419188691,7.0813799735545135,-967706.5999999997,Giảm mạnh,5,Ga trung bình
Neasden,neasden,51.55396571746177,-0.24978287282243158,140,649.0,Neasden,3331902.0,2991282.0,2853674.0,2658500.0,2701449.0,2914263.0,3107451.0,3413900.0,3672470.0,3749439.0,3646639.0,3400938.0,3450466.0,2478884.0,1564012.0,Jubilee,London Underground,Yes,,,,Yes,Neasden,London,Neasden Underground Station,MET,5.767283803739452e-05,3646639.0,3400938.0,3450466.0,2478884.0,1564012.0,1,2908187.8,-28.157993731861147,-36.90660797358811,-508730.8,Giảm mạnh,2,Ga rất ít khách
Newbury Park,newbury park,51.5755724936106,0.09033731368127056,141,650.0,Newbury Park,3382497.0,3592500.0,3929789.0,3845309.0,3918391.0,3929000.0,4395879.0,4619010.0,4327727.0,5429546.0,5249584.0,4729847.0,5079924.0,3168498.0,2218404.0,Central,London Underground,Yes,,,,Yes,Newbury Park,London,Newbury Park Underground Station,MET,0.0003670449229176682,5249584.0,4729847.0,5079924.0,3168498.0,2218404.0,1,4089251.4,-37.62705898749667,-29.985627259351276,-762370.9,Giảm mạnh,0,Ga ít khách
North Acton,north acton,51.52336555636413,-0.25973738573779515,144,653.0,North Acton,4991655.0,5102093.0,4716127.0,4811151.0,4641664.0,5199834.0,5465012.0,5678995.0,6106253.0,6530887.0,6459225.0,5909108.0,6241955.0,3717589.0,3148552.0,Central,London Underground,Yes,,,,Yes,North Acton,Acton,North Acton Underground Station,MET,0.00015940666688691018,6459225.0,5909108.0,6241955.0,3717589.0,3148552.0,1,5095285.8,-40.44191283019502,-15.306614044747818,-881286.5000000001,Giảm mạnh,1,Ga nhỏ
North Ealing,north ealing,51.517555160358675,-0.2890049797625605,145,654.0,North Ealing,869730.0,916956.0,936369.0,877995.0,936906.0,898266.0,860944.0,894137.0,892594.0,905402.0,786073.0,798689.0,880333.0,507381.0,357588.0,Piccadilly,London Underground,Yes,,,,No,North Ealing,Ealing,North Ealing Underground Station,MET,0.0001457544851464908,786073.0,798689.0,880333.0,507381.0,357588.0,1,666012.8,-42.364877836000694,-29.522784652953106,-114827.8,Giảm nhẹ,1,Ga nhỏ
North Greenwich,north greenwich,51.50018182399264,0.003607416938325964,270,789.0,North Greenwich,17280493.0,17761816.0,18103460.0,17728629.0,15700824.0,24171152.0,22398063.0,24272586.0,26377071.0,26452132.0,26585096.0,24549011.0,28280620.0,9641852.0,11279522.0,Jubilee,London Underground,Yes,,,,Yes,North Greenwich,London,North Greenwich Underground Station,MET,0.0007382973827763857,26585096.0,24549011.0,28280620.0,9641852.0,11279522.0,1,20067220.2,-65.90650417140785,16.98501491207291,-4551830.699999998,Giảm mạnh,5,Ga trung bình
North Harrow,north harrow,51.584791846729885,-0.3622235732581942,147,656.0,North Harrow,1432114.0,1480192.0,1449100.0,1412851.0,1423481.0,1540858.0,1685908.0,1816014.0,1937838.0,1968198.0,1833325.0,1835839.0,1930536.0,954512.0,769257.0,Metropolitan,London Underground,Yes,,,,No,North Harrow,Harrow,North Harrow Underground Station,MET,0.00020091588023997233,1833325.0,1835839.0,1930536.0,954512.0,769257.0,1,1464693.8,-50.55715096739972,-19.408346883014566,-300946.3,Giảm mạnh,2,Ga rất ít khách
Northfields,northfields,51.49927648219358,-0.31415683266496985,146,655.0,Northfields,4058754.9999999995,4056418.0,3924262.0,3826102.0,3789290.0,3976939.0,4102497.9999999995,4210924.0,4080122.0000000005,3913283.0,3785696.0,3664816.0,3975886.0,1899266.0,1630938.0,Piccadilly,London Underground,Yes,,,,Yes,Northfields,London,Northfields Underground Station,MET,0.0005638005987963489,3785696.0,3664816.0,3975886.0,1899266.0,1630938.0,1,2991320.4,-52.23037079030938,-14.127984179151316,-607506.6,Giảm mạnh,1,Ga nhỏ
Northolt,northolt,51.54815043900274,-0.36845983428266116,148,657.0,Northolt,3413498.0,3515942.0,3736606.0,4054941.9999999995,4279014.0,4417710.0,4611479.0,4992642.0,5026000.0,5157171.0,4921293.0,4784063.0,4976954.0,3383878.0,2467440.0,Central,London Underground,Yes,,,,No,Northolt,London,Northolt Underground Station,MET,0.00025420244106055145,4921293.0,4784063.0,4976954.0,3383878.0,2467440.0,1,4106725.6,-32.00905614156772,-27.08247755977018,-630789.1,Giảm mạnh,2,Ga rất ít khách
Northwick Park,northwick park,51.57859284148752,-0.3182063568762064,150,660.0,Northwick Park,3540049.0,3736299.0,3616612.0,3478437.0,3577980.0,3790022.0,3946956.0,4440388.0,4588128.0,4651799.0,4311177.0,4142560.0,4357031.0,2426206.0,1836276.0,Metropolitan,London Underground,Yes,,,,No,Northwick Park,Harrow,Northwick Park Underground Station,MET,0.00018743941506954267,4311177.0,4142560.0,4357031.0,2426206.0,1836276.0,1,3414650.0,-44.31515405788942,-24.31491802427329,-666615.6,Giảm mạnh,2,Ga rất ít khách
